"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2Yw632vBpb03AVhTN2OjCw","羊虫","spotify:artist:34Af84MkEBxILFC0g4iCpi","COgeNdshE","spotify:album:7hbvJlD4j7Wfwxwcg1nChp","cogency","spotify:artist:34Af84MkEBxILFC0g4iCpi","COgeNdshE","2012-05-23","https://i.scdn.co/image/ab67616d0000b273f87640dc17c6cf470a83dcdf","1","7","305800","https://p.scdn.co/mp3-preview/199d9d3f76e1f9e32e4126850e2e1ca29952695a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","TCJPI1949518","spotify:user:riiwl5gchbtj43a4fx9iwzqhw","2022-11-18T12:28:34Z"
"spotify:track:2YLsNRzwWGTV40pgdubJGr","akuran","spotify:artist:34Af84MkEBxILFC0g4iCpi","COgeNdshE","spotify:album:7jgHovgiZdil9dSpRaX4fR","cogency","spotify:artist:34Af84MkEBxILFC0g4iCpi","COgeNdshE","2012-05-23","https://i.scdn.co/image/ab67616d0000b2736c688fe59c56ee098de8058a","1","2","259426","https://p.scdn.co/mp3-preview/a65d4afdbf858cb6c14b7e3be4932cbbc0e74bd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","TCJPI1949513","spotify:user:riiwl5gchbtj43a4fx9iwzqhw","2022-11-18T12:31:39Z"
"spotify:track:0RURgddgChmrUBdYfe8SbL","yochu","spotify:artist:34Af84MkEBxILFC0g4iCpi","COgeNdshE","spotify:album:7jgHovgiZdil9dSpRaX4fR","cogency","spotify:artist:34Af84MkEBxILFC0g4iCpi","COgeNdshE","2012-05-23","https://i.scdn.co/image/ab67616d0000b2736c688fe59c56ee098de8058a","1","7","305800","https://p.scdn.co/mp3-preview/199d9d3f76e1f9e32e4126850e2e1ca29952695a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","TCJPI1949518","spotify:user:riiwl5gchbtj43a4fx9iwzqhw","2022-11-18T12:33:39Z"
"spotify:track:5mMsHBc5fCCwDBM5CZEBXE","egg","spotify:artist:34Af84MkEBxILFC0g4iCpi","COgeNdshE","spotify:album:7jgHovgiZdil9dSpRaX4fR","cogency","spotify:artist:34Af84MkEBxILFC0g4iCpi","COgeNdshE","2012-05-23","https://i.scdn.co/image/ab67616d0000b2736c688fe59c56ee098de8058a","1","4","390826","https://p.scdn.co/mp3-preview/ece405283cd1cf7f01560256132750df50015e1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","TCJPI1949515","spotify:user:riiwl5gchbtj43a4fx9iwzqhw","2023-02-23T13:30:13Z"
"spotify:track:4HAvQimR0cRsJZggVLTLQV","warau tsuki","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","spotify:album:7mqlBPVhjFt8AXgLCx4wzz","umi to dokuyaku","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","2019-05-18","https://i.scdn.co/image/ab67616d0000b2732a7337e8a27f9db255f70190","1","3","218161","https://p.scdn.co/mp3-preview/ffbbe75ffd252d96f596891544611a52959f1a30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","TCJPJ1931711","spotify:user:riiwl5gchbtj43a4fx9iwzqhw","2022-11-18T12:28:43Z"
"spotify:track:6KWWK5UO1KGWEy3wWCRR0e","Veronica","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","spotify:album:7mqlBPVhjFt8AXgLCx4wzz","umi to dokuyaku","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","2019-05-18","https://i.scdn.co/image/ab67616d0000b2732a7337e8a27f9db255f70190","1","2","256934","https://p.scdn.co/mp3-preview/ac8b73d9fc1711a13dc5805ba896fc07e0e693d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","TCJPJ1931710","spotify:user:riiwl5gchbtj43a4fx9iwzqhw","2022-11-18T12:28:46Z"
"spotify:track:4CpLioamuI6OjHjIxtMAAi","oboreru","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","spotify:album:7mqlBPVhjFt8AXgLCx4wzz","umi to dokuyaku","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","2019-05-18","https://i.scdn.co/image/ab67616d0000b2732a7337e8a27f9db255f70190","1","4","297377","https://p.scdn.co/mp3-preview/d0576e3e0c569b99c603c98f2d30252199772a63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","TCJPJ1931713","spotify:user:riiwl5gchbtj43a4fx9iwzqhw","2022-11-18T12:28:50Z"
"spotify:track:41QUmBS7lR6YalKaLGT6io","all of our happiness","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","spotify:album:4OvLUtskLYkOt1wx8CYvGX","apocalypsis","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","2020-03-01","https://i.scdn.co/image/ab67616d0000b273ebb1ad9054a47cdb2800f1b8","1","4","349346","https://p.scdn.co/mp3-preview/fa680bddd8b6dc7fed1ff67d6c71a17b20a03508?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","TCJPK2059323","spotify:user:riiwl5gchbtj43a4fx9iwzqhw","2022-11-18T12:28:59Z"
"spotify:track:3o3WnkQrLI2HtEZFgaCV0r","entropy","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","spotify:album:4OvLUtskLYkOt1wx8CYvGX","apocalypsis","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","2020-03-01","https://i.scdn.co/image/ab67616d0000b273ebb1ad9054a47cdb2800f1b8","1","1","277320","https://p.scdn.co/mp3-preview/200a18a2c48c4f0080ce52558b5ce1aa6a20200f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","TCJPK2059318","spotify:user:riiwl5gchbtj43a4fx9iwzqhw","2022-11-18T12:29:26Z"
"spotify:track:3uA0J5glMrqhPBwXpQuKHp","the shape of our happiness","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","spotify:album:1om2JSQtMHGZgOrnUe0ylN","the shape of our happiness / In our own cradle","spotify:artist:04RNBUTa49gFIa0Kqc7UYQ","Blumepopo","2021-11-07","https://i.scdn.co/image/ab67616d0000b2738b5a9b63d3f1884245a7cc2d","1","1","209500","https://p.scdn.co/mp3-preview/e141da0aeac10bf8caa3edcfacfc5895344fce3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","TCJPQ2119600","spotify:user:riiwl5gchbtj43a4fx9iwzqhw","2022-11-18T12:29:07Z"
